Area,Total
元朗區 - 新田,17759
元朗區 - 錦田,21876
元朗區 - 八鄉北,17543
元朗區 - 八鄉南,22814
北區 - 聯和墟,19640
北區 - 粉嶺市,13835
北區 - 祥華,15721
北區 - 華都,18058
北區 - 華明,14380
北區 - 欣盛,20198
北區 - 粉嶺南,14534
北區 - 盛福,13575
北區 - 清河,18505
北區 - 御太,17954
北區 - 上水鄉郊,20514
北區 - 彩園,16615
北區 - 石湖墟,22112
北區 - 天平西,12365
北區 - 鳳翠,19145
北區 - 沙打,16178
北區 - 天平東,15775
北區 - 皇后山,20527
大埔區 - 大埔墟,18515
大埔區 - 頌汀,13725
大埔區 - 大埔中,13139
大埔區 - 大元,13760
大埔區 - 富亨,13840
大埔區 - 怡富,14030
大埔區 - 富明新,12628
大埔區 - 廣福及寶湖,12752
大埔區 - 宏福,26893
大埔區 - 大埔滘,20441
大埔區 - 運頭塘,14589
大埔區 - 新富,15539
大埔區 - 林村谷,20780
大埔區 - 寶雅,16763
大埔區 - 太和,12752
大埔區 - 舊墟及太湖,18452
大埔區 - 康樂園,20389
大埔區 - 船灣,22465
大埔區 - 西貢北,15018
沙田區 - 沙田市中心,18833
沙田區 - 瀝源,15728
沙田區 - 禾輋邨,17572
沙田區 - 第一城,15407
沙田區 - 愉城,14944
沙田區 - 王屋,16194
沙田區 - 沙角,15740
沙田區 - 博康,15817
沙田區 - 水泉澳,19719
沙田區 - 乙泉,20143
沙田區 - 秦豐,15011
沙田區 - 新田圍,16628
沙田區 - 翠田,14635
沙田區 - 顯嘉,12252
沙田區 - 下城門,18378
沙田區 - 雲城,20005
沙田區 - 徑口,18707
沙田區 - 田心,13952
沙田區 - 翠嘉,17376
沙田區 - 大圍,19924
沙田區 - 松田,15504
沙田區 - 穗禾,23765
沙田區 - 火炭,22127
沙田區 - 駿馬,14492
沙田區 - 海嵐,14343
沙田區 - 頌安,15264
沙田區 - 錦濤,18699
沙田區 - 馬鞍山市中心,17782
沙田區 - 烏溪沙,23511
沙田區 - 利安,15621
沙田區 - 富龍,16243
沙田區 - 錦英,16691
沙田區 - 耀安,15994
沙田區 - 恆安,18622
沙田區 - 大水坑,18198
沙田區 - 鞍泰,13192
沙田區 - 愉欣,18760
沙田區 - 帝怡,16718
沙田區 - 碧湖,16368
沙田區 - 廣康,12231
沙田區 - 廣源,11716
西貢區 - 西貢市中心,12173
西貢區 - 白沙灣,16829
西貢區 - 西貢離島,13707
西貢區 - 坑口東,16447
西貢區 - 坑口西,20082
西貢區 - 彩健,18380
西貢區 - 健明,15773
西貢區 - 都善,15295
西貢區 - 維景,14342
西貢區 - 海晉,23777
西貢區 - 寶怡,14765
西貢區 - 富君,18938
西貢區 - 澳唐,18046
西貢區 - 尚德,17063
西貢區 - 廣明,16585
西貢區 - 康景,12545
西貢區 - 翠林,13588
西貢區 - 寶林,14084
西貢區 - 欣英,18481
西貢區 - 慧茵,13849
西貢區 - 運亨,13898
西貢區 - 景林,15419
西貢區 - 厚德,17611
西貢區 - 富藍,16665
西貢區 - 德明,17997
西貢區 - 南安,17097
西貢區 - 軍寶,13467
西貢區 - 環保北,18682
西貢區 - 環保南,33452
離島區 - 大嶼山,23607
離島區 - 滿逸,25628
離島區 - 逸東邨北,23933
離島區 - 東涌南,21091
離島區 - 東涌中,21366
離島區 - 東涌北,17546
離島區 - 愉景灣,19336
離島區 - 坪洲及喜靈洲,6282
離島區 - 南丫及蒲台,6724
離島區 - 長洲,19769
